date,CNG/LPG,Diesel,Other/Unknown,Petrol,Electrified (EV + Hybrid),Electrified_Share_YoY_Change (pp)
2002-01-01,0.12142237640936687,33.976188598911925,2.2802176141291493,63.606402270756135,0.01576913979342427,
2002-02-01,0.09103244533759297,32.47797186582161,2.4424176843407017,64.9765548513423,0.012023153157795298,-0.003745986635628971
2002-03-01,0.09460887115848562,32.624292404484464,2.7200050458064617,64.5248269446065,0.03626673394408616,0.02424358078629086
2002-04-01,0.07999863832104985,32.83518578407176,2.255280761178533,64.81591802692719,0.013616789501455295,-0.022649944442630864
2002-05-01,0.07674989766680311,32.67498976668031,2.4355300859598854,64.7803247373448,0.03240551234820576,0.018788722846750466
2002-06-01,0.06923855344683723,35.386226853906656,2.7730928329220443,61.73593480923891,0.03550695048555755,0.0031014381373517877
2002-07-01,0.09214891264283082,38.38253526790202,3.230238246825051,58.263244311898944,0.03183326073115973,-0.003673689754397816
2002-08-01,0.06871727748691099,34.59587696335078,2.9172120418848166,62.37565445026178,0.0425392670157068,0.01070600628454707
2002-09-01,0.09199027531375255,33.124712530389644,3.070175438596491,63.67698271896971,0.036139036730402786,-0.006400230285304016
2002-10-01,0.07279056887411979,32.60384524092096,2.9432708283883215,64.36743413244719,0.012659229369412137,-0.02347980736099065
2002-11-01,0.08114001724225367,35.329715840897954,3.157699004344372,61.40439846510134,0.027046672414084556,0.014387443044672418
2002-12-01,0.050117583561432595,35.84371024326304,3.793515555726898,60.28567022630017,0.0269863911484637,-6.028126562085401e-05
2003-01-01,0.07701742875887839,35.12850500613287,2.916678552072339,61.85640528282511,0.021393730210799555,-0.005592660937664147
2003-02-01,0.06679264955037144,37.89423954124853,3.246774403753421,58.746578913071815,0.045614492375863416,0.02422076216506386
2003-03-01,0.07473273547144957,37.83503065308811,2.801844251912651,59.232659472057556,0.05573288747023357,0.010118395094370153
2003-04-01,0.08413831043800463,34.84135074349142,2.8105431775156546,62.22998883549342,0.03397893306150187,-0.0217539544087317
2003-05-01,0.07084610491006882,35.804753918223355,2.6733560811983113,61.40188537389394,0.04915852177433346,0.015179588712831593
2003-06-01,0.068598117200613,36.1293147485952,3.2226519740202875,60.54148726556229,0.037947894621615706,-0.011210627152717756
2003-07-01,0.07383504703565959,35.30956027127543,2.9903194049442137,61.59620433165609,0.030080945088602054,-0.007866949533013652
2003-08-01,0.08276277180046648,34.93943269881875,2.4618162666466032,62.473854487999404,0.04213377473478294,0.012052829646180888
2003-09-01,0.07621512798389415,35.54501006614898,2.8515962036238136,61.49122807017544,0.03595053206787461,-0.006183242666908333
2003-10-01,0.07860692540336012,35.09999067375461,2.382189535952676,62.40723716642018,0.031975698469163434,-0.003974833598711175
2003-11-01,0.07971130016377048,34.87876635893274,2.7246771692343366,62.29945361526978,0.017391556399368107,-0.014584142069795327
2003-12-01,0.07106598984771574,34.71791153009427,3.4242204496011603,61.76794778825235,0.01885424220449601,0.0014626858051279036
2004-01-01,0.10925060574593286,34.62703357563171,2.6263412945655937,62.61790411907234,0.019470404984423675,0.0006161627799276641
2004-02-01,0.11333195961261075,37.02091489800124,3.0548114568308264,59.80579023284566,0.005151452709664125,-0.01431895227475955
2004-03-01,0.08102107600197818,36.26797983943096,3.1492997464145542,60.482759346359835,0.018939991792670224,0.0137885390830061
2004-04-01,0.1477938107111026,34.26672834143755,2.567776436476866,62.98385550052461,0.03384591084987082,0.014905919057200595
