STATE,Diesel,Petrol,OMF,EV + Hybrid
UTTAR PRADESH,50.2397584340744,49.71904139155583,0.01,0.04
MAHARASHTRA,39.04682926547371,56.96400038140699,3.77,0.22
GUJARAT,34.09108363412948,64.17106432466237,1.66,0.08
KARNATAKA,35.73222875467664,57.96321040441832,6.07,0.23
RAJASTHAN,52.07486807994264,47.8658368420085,0.01,0.05
MADHYA PRADESH,60.28495019428423,38.618299057931175,1.08,0.01
HARYANA,38.522268120358454,61.438229385341195,0.01,0.03
TAMIL NADU,34.230813091572585,65.50461854259324,0.1,0.16
KERALA,12.292466091713841,87.43525448627838,0.01,0.26
DELHI,8.520451303775953,91.09862234483231,0.0,0.38
PUNJAB,48.588193162722796,51.40262435378272,0.0,0.01
ANDHRA PRADESH,41.599663871965774,41.42969003647753,16.91,0.06
WEST BENGAL,22.33533543723913,77.56625606569617,0.0,0.1
CHHATTISGARH,44.595376111253074,46.68675103896279,8.71,0.01
ASSAM,11.495730419612524,83.53533498607413,4.96,0.01
BIHAR,34.84388418598945,64.09642988590358,1.03,0.03
JAMMU AND KASHMIR,10.184034852324869,89.81596514767514,0.0,0.0
HIMACHAL PRADESH,18.18552875695733,81.80705009276437,0.0,0.01
ODISHA,26.520079049866652,73.45497803104433,0.0,0.02
JHARKHAND,20.487564639251417,79.47344660592628,0.0,0.03
UTTARAKHAND,23.226726201683835,76.74099577695887,0.0,0.03
CHANDIGARH,28.4909988183777,71.26572600264127,0.0,0.24
GOA,8.1527446300716,91.62768496420047,0.01,0.21
MEGHALAYA,11.357575757575757,88.64242424242424,0.0,0.0
ARUNACHAL PRADESH,32.115260785576304,67.61107533805539,0.23,0.05
NAGALAND,23.41850220264317,76.58149779735682,0.0,0.0
PUDUCHERRY,28.467153284671532,71.514598540146,0.0,0.02
MANIPUR,15.815991237677984,84.18400876232201,0.0,0.0
TRIPURA,4.7369619676611245,95.1491687542701,0.11,0.0
MIZORAM,20.26266416510319,79.73733583489681,0.0,0.0
UT OF DNH AND DD,32.409793814432994,67.49355670103093,0.0,0.1
SIKKIM,30.103092783505154,69.89690721649484,0.0,0.0
LADAKH,7.6477404403244496,92.35225955967556,0.0,0.0
ANDAMAN AND NICOBAR,11.46788990825688,85.85626911314985,0.08,2.6
LAKSHADWEEP,26.666666666666668,33.33333333333333,0.0,40.0
