year,Fuel_Type,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
2021,PETROL/HYBRID,13063,10835,12402,8072,2926.0,7525.0,12786.0,12070.0,10504.0,12729.0,11958.0,9991.0,124861
2021,PETROL/LPG,1422,1227,1245,689,157.0,721.0,1047.0,973.0,817.0,651.0,778.0,753.0,10480
2022,CNG ONLY,10,8,14,18,10.0,21.0,17.0,4.0,6.0,3.0,9.0,5.0,125
2022,DIESEL,108955,102528,128665,107536,111281.0,116394.0,121871.0,114534.0,106774.0,120070.0,128289.0,122650.0,1389547
2022,DIESEL/HYBRID,3,4,3,4,23.0,57.0,80.0,122.0,74.0,104.0,116.0,146.0,736
2022,DUAL DIESEL/CNG,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2
2022,ELECTRIC(BOV),1361,2309,3660,1806,2290.0,2940.0,2960.0,2921.0,3241.0,3311.0,3557.0,2927.0,33283
2022,ETHANOL,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022,LPG ONLY,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
2022,NOT APPLICABLE,5464,6137,7204,4472,4927.0,5635.0,5087.0,4110.0,5497.0,5352.0,5348.0,4808.0,64041
2022,PETROL,186727,162775,179430,178650,176131.0,172467.0,163128.0,177105.0,166513.0,211858.0,178857.0,169379.0,2123020
2022,PETROL/CNG,26436,29872,33119,30880,29847.0,30337.0,28651.0,28743.0,23386.0,36238.0,28931.0,24613.0,351053
2022,PETROL/HYBRID,10788,9257,8214,7218,15426.0,12275.0,11992.0,18300.0,19031.0,27157.0,25488.0,24197.0,189343
2022,PETROL/LPG,793,598,602,709,764.0,687.0,639.0,762.0,585.0,716.0,345.0,327.0,7527
2022,STRONG HYBRID EV,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2023,CNG ONLY,6,7,4,11,5.0,3.0,8.0,4.0,6.0,7.0,3.0,7.0,71
2023,DIESEL,127646,115641,131352,101943,120916.0,143988.0,134869.0,122237.0,105462.0,113331.0,115572.0,119756.0,1452713
2023,DIESEL/HYBRID,162,146,120,122,134.0,140.0,135.0,141.0,296.0,364.0,307.0,392.0,2459
2023,ELECTRIC(BOV),2973,4367,7161,5420,6849.0,6966.0,6925.0,6307.0,5770.0,6457.0,7141.0,7013.0,73349
2023,LPG ONLY,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2023,NOT APPLICABLE,4146,4222,4498,4186,3475.0,3583.0,3587.0,3734.0,3300.0,4171.0,3807.0,4616.0,47325
2023,PETROL,203746,168228,193576,161658,168769.0,162391.0,154532.0,173846.0,182350.0,199710.0,210242.0,169202.0,2148250
2023,PETROL/CNG,34743,23303,24748,24262,28239.0,31887.0,32437.0,37006.0,42688.0,47677.0,48287.0,33827.0,409104
2023,PETROL/ETHANOL,0,0,0,0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4
2023,PETROL/HYBRID,29742,31092,37327,27350,25850.0,26082.0,22678.0,24908.0,25934.0,26421.0,25292.0,21143.0,323819
2023,PETROL/LPG,529,428,530,330,305.0,351.0,304.0,298.0,284.0,281.0,284.0,189.0,4113
2023,STRONG HYBRID EV,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,CNG ONLY,8,5,9,16,22.0,58.0,54.0,41.0,31.0,50.0,29.0,30.0,353
2024,DIESEL,147742,131905,131988,112521,118169.0,115895.0,130465.0,117113.0,107674.0,144471.0,132762.0,141703.0,1532408
