year,fuel_type,4WIC,LMV,MMV,HMV,TOTAL
2011,PETROL/HYBRID,0,2,0,0,2
2011,PETROL/LPG,11,"81,924",2,0,"81,937"
2011,SOLAR,0,16,0,0,16
2012,CNG ONLY,0,"1,947",0,0,"1,947"
2012,DIESEL,116,"12,99,855",66,28,"13,00,065"
2012,DIESEL/HYBRID,0,22,0,0,22
2012,ELECTRIC(BOV),0,403,0,0,403
2012,LPG ONLY,0,300,0,0,300
2012,NOT APPLICABLE,1,"2,879",0,0,"2,880"
2012,PETROL,193,"9,78,255",6,4,"9,78,458"
2012,PETROL/CNG,80,"1,52,571",1,0,"1,52,652"
2012,PETROL/HYBRID,0,4,0,0,4
2012,PETROL/LPG,12,"73,338",1,2,"73,353"
2012,SOLAR,0,14,0,0,14
2013,CNG ONLY,1,"1,485",0,0,"1,486"
2013,DIESEL,125,"12,21,086",47,25,"12,21,283"
2013,DIESEL/HYBRID,0,26,0,0,26
2013,DUAL DIESEL/CNG,0,1,0,0,1
2013,ELECTRIC(BOV),0,361,0,0,361
2013,LPG ONLY,0,216,0,0,216
2013,NOT APPLICABLE,0,"2,275",0,0,"2,275"
2013,PETROL,224,"9,33,581",5,2,"9,33,812"
2013,PETROL/CNG,75,"1,34,098",3,0,"1,34,176"
2013,PETROL/HYBRID,0,5,0,0,5
2013,PETROL/LPG,8,"40,157",1,0,"40,166"
2013,SOLAR,0,7,0,0,7
2014,CNG ONLY,2,"2,070",0,0,"2,072"
2014,DIESEL,106,"11,55,796",56,22,"11,55,980"
2014,DIESEL/HYBRID,0,12,0,0,12
2014,ELECTRIC(BOV),0,471,0,0,471
2014,LPG ONLY,0,109,0,0,109
2014,NOT APPLICABLE,0,"1,586",0,0,"1,586"
2014,PETROL,318,"10,50,978",4,2,"10,51,302"
2014,PETROL/CNG,110,"1,45,832",1,0,"1,45,943"
2014,PETROL/HYBRID,0,4,0,0,4
2014,PETROL/LPG,10,"42,344",1,0,"42,355"
2014,SOLAR,0,3,0,0,3
2015,CNG ONLY,0,"2,197",0,0,"2,197"
2015,DIESEL,112,"11,08,238",50,20,"11,08,420"
2015,DIESEL/HYBRID,0,470,0,0,470
2015,ELECTRIC(BOV),1,676,0,0,677
2015,LPG ONLY,0,133,0,0,133
2015,NOT APPLICABLE,1,"1,613",0,0,"1,614"
2015,PETROL,462,"12,17,974",3,0,"12,18,439"
2015,PETROL/CNG,125,"1,56,356",0,0,"1,56,481"
2015,PETROL/ETHANOL,0,1,0,0,1
2015,PETROL/HYBRID,0,90,0,0,90
2015,PETROL/LPG,7,"32,450",0,0,"32,457"
2015,SOLAR,0,11,0,0,11
2016,CNG ONLY,0,"1,607",0,0,"1,607"
2016,DIESEL,128,"10,34,791",26,28,"10,34,973"
2016,DIESEL/HYBRID,0,"10,835",0,0,"10,835"
2016,DUAL DIESEL/CNG,0,1,0,0,1
2016,ELECTRIC(BOV),4,606,0,0,610
2016,LPG ONLY,1,159,0,0,160
2016,NOT APPLICABLE,1,"5,505",0,0,"5,506"
2016,PETROL,689,"13,97,377",3,0,"13,98,069"
2016,PETROL/CNG,139,"1,75,961",0,0,"1,76,100"
2016,PETROL/HYBRID,0,516,0,0,516
2016,PETROL/LPG,4,"29,800",0,0,"29,804"
2016,SOLAR,0,8,0,0,8
2017,CNG ONLY,0,624,0,0,624
2017,DIESEL,174,"10,76,944",40,38,"10,77,196"
2017,DIESEL/HYBRID,6,"46,959",1,2,"46,968"
2017,ELECTRIC(BOV),0,816,0,0,816
2017,LPG ONLY,0,162,0,0,162
2017,NOT APPLICABLE,3,"4,591",0,0,"4,594"
2017,PETROL,"1,055","16,11,143",7,3,"16,12,208"
2017,PETROL/CNG,204,"1,85,097",1,0,"1,85,302"
2017,PETROL/HYBRID,0,676,0,0,676
2017,PETROL/LPG,11,"27,233",0,2,"27,246"
2018,CNG ONLY,0,343,0,0,343
2018,DIESEL,253,"10,43,308",104,34,"10,43,699"
2018,DIESEL/HYBRID,9,"57,879",0,7,"57,895"
2018,ELECTRIC(BOV),0,"1,105",0,0,"1,105"
2018,LPG ONLY,0,106,0,0,106
2018,NOT APPLICABLE,0,"5,540",0,0,"5,540"
2018,PETROL,"1,013","16,69,620",6,33,"16,70,672"
2018,PETROL/CNG,204,"1,97,749",0,0,"1,97,953"
2018,PETROL/HYBRID,5,"11,692",0,0,"11,697"
