STATE,Diesel,Petrol,OMF,EV + Hybrid
UTTAR PRADESH,39.0379965993785,58.25909562782164,0.0,2.7
MAHARASHTRA,32.67917406103628,60.74753440200157,2.46,4.12
GUJARAT,37.254375579356996,59.55124498655433,0.71,2.48
KARNATAKA,30.506351603446745,60.852506588493085,3.55,5.09
RAJASTHAN,52.01879196270932,45.56745495977078,0.01,2.4
HARYANA,30.6590103430126,66.99494581174575,0.0,2.34
MADHYA PRADESH,52.333283180366784,46.40954912483073,0.1,1.16
TAMIL NADU,24.598904987696695,71.25941083497439,0.01,4.13
KERALA,8.323125618587515,84.54094681862279,0.02,7.12
DELHI,5.5192944472745795,89.46605960264901,0.0,5.01
PUNJAB,42.97426323809738,54.72477915417878,0.0,2.3
WEST BENGAL,26.609262665106172,70.49490051830799,0.02,2.87
CHHATTISGARH,46.7148864009967,43.223858386253916,7.92,2.14
ANDHRA PRADESH,34.041694933900516,51.88580648710097,9.46,4.61
BIHAR,40.84598456499032,57.7717606255134,0.15,1.24
ODISHA,32.68853985126812,64.01857524815708,0.0,3.29
ASSAM,12.925239097896954,86.09173241330323,0.13,0.85
JHARKHAND,21.22935938445578,77.40295668712717,0.0,1.37
UTTARAKHAND,23.722928226239485,74.53552890638984,0.0,1.74
JAMMU AND KASHMIR,22.094484349505823,77.10470546313834,0.0,0.8
HIMACHAL PRADESH,15.967674515814407,82.80021497243177,0.0,1.23
GOA,10.294117647058822,82.92880258899676,0.0,6.77
CHANDIGARH,20.189540537858488,68.54222486851246,0.0,11.27
ARUNACHAL PRADESH,30.10427903631787,69.31319669183746,0.0,0.58
PUDUCHERRY,23.235388054934525,74.08974768444587,0.0,2.67
MEGHALAYA,16.24709873236922,83.1101589001964,0.0,0.64
NAGALAND,23.340780654488107,76.19923774477593,0.0,0.46
UT OF DNH AND DD,26.42434488588335,69.94082840236686,0.0,3.63
TRIPURA,13.753375337533754,85.38253825382537,0.0,0.86
MANIPUR,12.675773402973082,85.31538770590599,0.0,2.01
MIZORAM,18.610594795539033,81.01765799256505,0.0,0.37
SIKKIM,35.48650858544563,64.07740528754428,0.0,0.44
LADAKH,21.26099706744868,78.66568914956011,0.0,0.07
ANDAMAN AND NICOBAR,13.261851015801355,85.60948081264108,0.0,1.13
LAKSHADWEEP,28.57142857142857,71.42857142857143,0.0,0.0
